Geo Point;Geo Shape;ID;Code TAF/TAP;Nom symbolique;Abréviation LST FR courte;Abréviation LST NL courte;Abréviation LST FR complète;Abréviation LST NL complète;Nom FR court;Nom NL court;Nom FR moyen;Nom NL moyen;Nom FR complet;Nom NL complet;Classification en néerlandais;Classification en anglais;Classification en anglais
50.7997724296,4.30238708217;"{""type"": ""Point"", ""coordinates"": [4.302387082168994, 50.799772429627176]}";1023;BE01023;FRBB;RUISBR-BUND;RUISBR-BUND;RUISBROEK-BUNDEL;RUISBROEK-BUNDEL;Ruisbr-Bund;Ruisbr-Bund;Ruisbroek-Bundel;Ruisbroek-Bundel;Ruisbroek-Bundel;Ruisbroek-Bundel;Station;Gare;Gare
50.6189636057,5.57466711798;"{""type"": ""Point"", ""coordinates"": [5.574667117982814, 50.61896360569632]}";731;BE00731;FL4;LIEGE-FAISC;LIEGE-FAISC;LIEGE-GUILLEMINS-FAISCEAU;LIEGE-GUILLEMINS-FAISCEAU;Liège-Faisc;Liège-Faisc;Liège-Guillemins-F;Liège-Guillemins-F;Liège-Guillemins-Faisceau;Liège-Guillemins-Faisceau;Station;Gare;Gare
51.2983145984,4.37539917047;"{""type"": ""Point"", ""coordinates"": [4.37539917046796, 51.298314598441024]}";180;BE00180;FNDA2;ANTW-ND-A2;ANTW-ND-A2;ANTWERPEN-NOORD-BUNDEL A2;ANTWERPEN-NOORD-BUNDEL A2;Antw-Nd-A2;Antw-Nd-A2;Antw-Nd-Bundel A2;Antw-Nd-Bundel A2;Antwerpen-Noord-Bundel A2;Antwerpen-Noord-Bundel A2;Station;Gare;Gare
50.6595169817,5.44092869711;"{""type"": ""Point"", ""coordinates"": [5.440928697114195, 50.65951698174294]}";1204;BE01204;GVXL;VOROUX-LGV;VOROUX-LGV;VOROUX-BASE TRAVAUX LGV;VOROUX-BASE TRAVAUX LGV;Voroux-LGV;Voroux-LGV;Voroux-Base LGV;Voroux-Base LGV;Voroux-Base travaux LGV;Voroux-Base travaux LGV;Dienstinstallatie;Installation de service;Installation de service
51.0852513849,3.74410762008;"{""type"": ""Point"", ""coordinates"": [3.744107620080945, 51.08525138486137]}";2014;BE02014;DARSE;DARSEN;DARSEN;GENT-ZEEHAVEN-DARSEN;GENT-ZEEHAVEN-DARSEN;Darsen;Darsen;Gent-Zeehaven-Darsen;Gent-Zeehaven-Darsen;Gent-Zeehaven-Darsen;Gent-Zeehaven-Darsen;Station;Gare;Gare
50.4541667231,4.83145901783;"{""type"": ""Point"", ""coordinates"": [4.831459017829137, 50.454166723075645]}";1012;BE01012;FEOCL;RONET-CLI;RONET-CLI;RONET-C.L.I.;RONET-C.L.I.;Ronet-CLI;Ronet-CLI;Ronet-C.L.I.;Ronet-C.L.I.;Ronet-C.L.I.;Ronet-C.L.I.;Dienstinstallatie;Installation de service;Installation de service
51.2679726269,4.20403600428;"{""type"": ""Point"", ""coordinates"": [4.204036004281978, 51.26797262690692]}";1341;BE01341;AET;A.E.T.;A.E.T.;ANTWERPEN-W.H.-A.E.T.;ANTWERPEN-W.H.-A.E.T.;A.E.T.;A.E.T.;Antw-WH-A.E.T.;Antw-WH-A.E.T.;Antwerpen-W.H.-A.E.T.;Antwerpen-W.H.-A.E.T.;Station;Gare;Gare
51.2709980002,4.43116999549;"{""type"": ""Point"", ""coordinates"": [4.431169995492337, 51.27099800016706]}";675;BE00675;LBWB;LUCHTB-WIJKB;LUCHTB-WIJKB;LUCHTBAL-WIJKBUNDEL;LUCHTBAL-WIJKBUNDEL;Luchtb-Wijkb;Luchtb-Wijkb;Luchtbal-Wijkbundel;Luchtbal-Wijkbundel;Luchtbal-Wijkbundel;Luchtbal-Wijkbundel;Station;Gare;Gare
49.6778118276,5.81716022261;"{""type"": ""Point"", ""coordinates"": [5.817160222608548, 49.67781182755846]}";1817;BE01817;LLPED;ARLON-PED;ARLON-PED;ARLON-P.E.D.;ARLON-P.E.D.;Arlon-PED;Arlon-PED;Arlon-P.E.D.;Arlon-P.E.D.;Arlon-P.E.D.;Arlon-P.E.D.;Dienstinstallatie;Installation de service;Installation de service
51.2919640002,4.38383899551;"{""type"": ""Point"", ""coordinates"": [4.383838995510696, 51.29196400015467]}";244;BE00244;FNDW;ANTW-ND-TW;ANTW-ND-TW;ANTWERPEN-NOORD-T.W.;ANTWERPEN-NOORD-T.W.;Antw-Nd-TW;Antw-Nd-TW;Antw-Nd-T.W.;Antw-Nd-T.W.;Antwerpen-Noord-T.W.;Antwerpen-Noord-T.W.;Dienstinstallatie;Installation de service;Installation de service
50.4660690004,3.94830599558;"{""type"": ""Point"", ""coordinates"": [3.948305995581009, 50.46606900038507]}";1387;BE01387;FMSA;MONS-AVIAT;MONS-AVIAT;MONS-AVIATION;MONS-AVIATION;Mons-Aviat;Mons-Aviat;Mons-Aviation;Mons-Aviation;Mons-Aviation;Mons-Aviation;Station;Gare;Gare
51.2905355267,4.391907371;"{""type"": ""Point"", ""coordinates"": [4.391907370998802, 51.290535526678326]}";1501;BE01501;RNITW;ANTW-N-INTW;ANTW-N-INTW;ANTWERPEN-NOORD-INRIT T.W.;ANTWERPEN-NOORD-INRIT T.W.;Antw-N-InTW;Antw-N-InTW;Antw-Nd-Inrit T.W.;Antw-Nd-Inrit T.W.;Antwerpen-Noord-Inrit T.W.;Antwerpen-Noord-Inrit T.W.;Rooster;Gril;Gril
50.4433530943,3.93345096657;"{""type"": ""Point"", ""coordinates"": [3.933450966568963, 50.44335309430906]}";295;BE00295;LCSA;CUESMES-AC;CUESMES-AC;CUESMES-A.C.;CUESMES-A.C.;Cuesmes-AC;Cuesmes-AC;Cuesmes-A.C.;Cuesmes-A.C.;Cuesmes-A.C.;Cuesmes-A.C.;Dienstinstallatie;Installation de service;Installation de service
51.2997080024,4.36627799595;"{""type"": ""Point"", ""coordinates"": [4.366277995954088, 51.29970800238592]}";1908;BE01908;RGE9;ANT-ND-RGE.9;ANT-ND-RGE.9;ANTWERPEN-ND-BL.9-ROOSTER G/E;ANTWERPEN-ND-BL.9-ROOSTER G/E;Ant-Nd-RGE.9;Ant-Nd-RGE.9;Antw-Nd-R.G/E.9;Antw-Nd-R.G/E.9;Antwerpen-Nd-Bl.9-Rooster G/E;Antwerpen-Nd-Bl.9-Rooster G/E;Rooster;Gril;Gril
51.0136811691,4.50614191455;"{""type"": ""Point"", ""coordinates"": [4.506141914550989, 51.01368116910986]}";872;BE00872;FIZG;MUIZEN-GOED;MUIZEN-GOED;MUIZEN-GOEDEREN;MUIZEN-GOEDEREN;Muizen-March;Muizen-Goed;Muizen-Marchandises;Muizen-Goederen;Muizen-Marchandises;Muizen-Goederen;Station;Gare;Gare
